,movie_title,review_title,review_rating,review_text,classic_1,inspiring_1,deep_1,revolutionary_1,nostalgic_1,negative_1,note_1,classic_2,inspiring_2,deep_2,revolutionary_2,nostalgic_2,negative_2,note_2
0,12 Angry Men," The over-used term ""classic movie"" really comes into its own here!
",,"This once-in-a-generation masterpiece simply has no equal. The late 90's TV remake was quite adequate though totally unnecessary and in the upshot proved simply that updating a film for updating's sake is really an exercise in futility. Even had it BEEN as good - so what?There could be few, if ANY film-goers reading this who are unaware of the plotline and in any event many others have re-hashed this for you. The brilliance of the film is evident in so many aspects. To begin with, the ability to not only sustain interest but to command the viewer's attention for basically its entire running time within a setting of principally just one room, borders on the inspired. Whether or not that would actually work with TODAY'S audiences is another discussion! What we have here are twelve everyday Mr Joe Blows, summoned together on a jury panel to decide a defendant's guilt or innocence with regards to a murder charge. If you were to gather unto yourselves ANY twelve jurors at random, you would most likely be able to pinpoint the Henry Fonda, Lee Cobb, E. G. Marshall, Jack Warden etc etc amongst them! Their very ""ordinariness"" is where the film succeeded. Everyone can identify with at least ONE of those characters. Whether or not he may WANT to is a different matter. The thinker, the sensitive man, the arrogant bully, the opportunist, the mentally challenged loudmouth, the slimeball, the emotionally withdrawn, the sheep etc - they're all here! Welcome to society folks! I dislike society in the main - doubtless a reason I found this film to be such a revelation..even when I was barely into my teens!12 ANGRY MEN also pinpoints the shortcomings of the law, how ""truth"" can be so intrinsically left-field and unintentionally flawed. Lumet, working within a minimal budget here, delivers unstinting brilliance in both direction, character portrayal and script interpretation. He had of course superb acting talent at his disposal although some of the most memorable performances are from the lesser players. Some have denounced Fonda's role as being acceptable rather than awesome. I think however he was to a great degree playing himself here, not to an audience. His, is a study in deliberation and logic not show-pony stuff, but hell that never WAS Fonda was it?This is a great great movie, as is evidenced by the extremely high user-vote worldwide. IF you haven't seen it - you really should do something about that!",1,0,1,1,0,0,,,,,,,,
1,12 Years a Slave," Slavery is an evil that should befall none
",10,"12 Years a Slave tells the true story of Solomon Northup, an educated and free black man living in New York during the 1840's who gets abducted, shipped to the south, and sold into slavery. It is a film that stimulates at both an emotional level and an intellectual one. Chiwetel Ejiofor plays Solomon Northup. He's been a ""that guy"" actor for sometime – film-goers may know his face but not his name. After this film his name will be known. He gives, quite simply, the best performance from a leading actor since Daniel Day Lewis in There Will Be Blood. Because of his character's position as a slave he is usually unable to speak his mind unless he is prepared to be beaten. As a result Ejiofor is forced to utilize body language and his eyes, which become enormous pools of emotion to express himself to the audience. He's forced to endure terrible things, but he always maintains a certain dignity and nobility that makes his plight even more affecting. It's a performance of incredible subtlety that may leave you speechless and in complete awe.Micheal Fassbender gives the best performance of his already extremely impressive career, even besting his previous high marks from the films Shame and Hunger (both directed by Steve McQueen, who also directed 12 Years a Slave). He plays Edwynn Epps, a vicious and demonic slaver and perhaps the most loathsome and disgusting character ever put on screen. If alive today, he'd likely be a drunk with severe anger management issues. By turns pathetic and terrifying, he embodies the ultimate nightmare of a deeply flawed man given absolute power over other human beings, and through that absolute power finds only madness, which drives him to deeper cruelty. He's always a menacing and malignant presence even when not on screen, as his slaves must always be aware and prepared for his seemingly random bouts of sadism. Other actors give excellent performances as well. Paul Giamatti, Paul Dano, Benedict Cumberbatch, Sarah Paulson, Alfre Woodard are all great in relatively small roles. But in this film of titans it's the one you've probably never heard of who perhaps stands above them all. In her first role in a feature film, Lupita Nyong'o, playing the pretty young slave Patsey - the object of Edwynn Epps demented and horrifying affections and the emotional epicenter of the entire picture, gives one of the most devastating performances I have ever seen. A portrait of unbearable sadness, her character is a mirror image of Solomon. While Solomon is a man who refuses to break and give up the dignity which he's known since birth, she is one who has long since been broken, and who never knew dignity in the first place. Her life is a living hell, forced to endure the ""love"" of Edwyn Epps and the brutal jealousy of his wife, she's trapped in a terrible triangle that she can't escape. Despite that, she retains a level of innocence that only heightens the tragedy of her character. It actually gets to the point where simply looking at this character might be enough to bring you to tears. It's a shattering performance.Starting his career as a video artist before making full length films, Steve McQueen has an uncanny eye for imagery and contrast. He's also a very patient film maker, utilizing long, steady single shots to emphasize various things. In his prior films this has felt like a purely stylistic choice, here, it's a choice aimed directly at our heart. When the events on screen become their most horrifying and ugly is when his camera becomes the most unflinching. At times feeling perhaps like we're seeing out of the solemn eyes of the ghost of some murdered slave, watching in sorrow and rage. This is both McQueen's most accessible and artistically searing film yet. There are also moments of stunning natural beauty that would make Terrence Malick proud. Alone, these shots would inspire wonder, but in the context of this film they make us feel more forlorn, as if the ugliness of man is encroaching on the natural beauty of the world.Perhaps the most noteworthy thing about 12 Years a Slave is the way that it portrays slavery itself. Instead of taking the easy way out and limiting his exploration of the topic solely to the slaves, Steve McQueen increases the scope and we see how it affects those who profited by it. Take Benedict Cumberbatch's character. A seemingly decent and caring man who treats his slaves with some semblance of respect and kindness. He comes off as a relatively good man who is trapped within the powerful confines of the institution of slavery. In 12 Years a Slave, slavery is shown as a horrifying and destructive social construct that drains the humanity from everyone it touches, turning good men into moral quandaries, turning flawed men into monsters, and turning an entire race of people into livestock and tools. To watch 12 Years a Slave is to be confronted with the grim reality of slavery in a way that's never been done before. To say this is the best film ever made about slavery feels trivial, as slavery is a subject in film that has been shown with naive romanticism from films like Gone With the Wind or silly exploitation from something like Django Unchained. Both of which serve to make the topic digestible. To watch 12 Years a Slave is to experience a level of despair and misery that can become overwhelming. It's a film of such ugliness, such blunt emotional trauma, that it may haunt you for hours if not days after seeing it. So why should you watch a film that could leave you reeling and devastated? Because, it's also one of the greatest cinematic achievements of our time.",0,1,1,0,0,0,,,,,,,,
2,1917," ""He travels the fastest who travels alone""
",10,"There are some great WW1 films out there, the granddaddy of them all in my view being 1930's 'All Quiet on the Western Front'. Also appreciate many of the actors here, though they are in cameo roles, and Sam Mendes as a director (of the films of his seen, almost all, 'Spectre' is the only one to not do much for me). Roger Deakins and Thomas Newman are masters in their field, Deakins is one of the best cinematographers in the business and Newman's score for 'Road to Perdition' is a favourite.'1917' was seen for all those reasons. As well as because of the critical acclaim, with it being considered as one of 2019's year's best films. After seeing it, my thoughts are that the acclaim for '1917' is richly deserved in one of the best and most powerful films that year. It did connect a lot with me, due to watching it not long after reading the harrowing war diaries of my great-grandfather (who fought in the war and was mustard gassed and blinded).First and foremost, '1917' is a visual and technical achievement. It is beautifully and evocatively designed and Deakins' cinematography, with awe-inspiring and never gimmicky use of the long unbroken one take technique, is nothing short of masterful. Mendes ensures that the tension, even in the slower moments, never slips, keeping the intensity (at its best almost nerve-shredding) going.Newman provides another hauntingly beautiful score, that does stir the emotions in the latter parts of the film when things become more urgent. The sound is thrilling in its authenticity, so much so it was like being there. The film is intelligently scripted and to me the two lead characters, especially Scofield, were easy to get behind, interesting and their bond came over as realistic. The story is engrossing throughout, it briefly loses a little momentum just before the climax perhaps, but the first half is emotionally powerful and the climax is unpredictably intense.Such a good job is done too with showing the full horrors of war from a visual standpoint, a psychological one and in the unflinching action. Without going too far, the point of view not being hammered home. '1917' benefits hugely from the splendid lead performance of George MacKay and Dean-Charles Chapman is strong too despite his role not being quite as meaty. The cameos from Benedict Cumberbatch, Colin Firth, Richard Madden and Andrew Scott manage to make big impressions in short screen time.Overall, brilliant and powerful film. One of the best films personally watched in 2020. 10/10.",0,1,1,0,0,0,,,,,,,,
3,2001: A Space Odyssey," Unmatched accomplishment
",10,"Sometimes reading the user comments on IMDB fills me with despair for the species.  For anybody to dismiss 2001: A Space Odyssey as ""boring"" they must have no interest in science, technology, philosophy, history or the art of film-making.  Finally I understand why most Hollywood productions are so shallow and vacuous - they understand their audience.Thankfully, those that cannot appreciate Kubrick's accomplishment are still a minority.  Most viewers are able to see the intelligence and sheer virtuosity that went into the making of this epic.  This is the film that put the science in ""science fiction"", and its depiction of space travel and mankind's future remains unsurpassed to this day.  It was so far ahead of its time that humanity still hasn't caught up.2001 is primarily a technical film.  The reason it is slow, and filled with minutae is because the aim was to realistically envision the future of technology (and the past, in the awe inspiring opening scenes).  The film's greatest strength is in the details.  Remember that when this film was made, man still hadn't made it out to the moon... but there it is in 2001, and that's just the start of the journey.  To create such an incredibly detailed vision of the future that 35 years later it is still the best we have is beyond belief - I still can't work out how some of the shots were done.  The film's only notable mistake was the optimism with which it predicted mankind's technological (and social) development.  It is our shame that the year 2001 did not look like the film 2001, not Kubrick's.Besides the incredible special effects, camera work and set design, Kubrick also presents the viewer with a lot of food for thought about what it means to be human, and where the human race is going.  Yes, the ending is weird and hard to comprehend - but that's the nature of the future.  Kubrick and Clarke have started the task of envisioning it, now it's up to the audience to continue.  There's no neat resolution, no definitive full stop, because then the audience could stop thinking after the final reel.  I know that's what most audiences seem to want these days, but Kubrick isn't going to let us off so lightly.I'm glad to see that this film is in the IMDB top 100 films, and only wish that it were even higher.  Stanley Kubrick is one of the very finest film-makers the world has known, and 2001 his finest accomplishment. 10/10.",1,0,1,0,1,0,,,,,,,,
4,3 Idiots," Wonderfully entertaining.
",10,"It's hard for me to review this film, as I have not seen a huge number of Indian films--probably no more than a couple dozen. Most of the ones I've seen were wonderfully entertaining but I am far from an expert on Bollywood. Because of this, I have a hard time knowing how good this film is relative to other films from this country. So, consider this when you read this review. This may be among the very best India has to offer or it just seems that way to me.Like so many Indian films, this is a very, very long film--with a run-time of almost three hours. When a movie is bad or just okay, this can seem like forever, but since ""3 Idiots"" is a very, very good film I loved its length. And, like most films of the genre, it has its share of the usual singing and dancing so foreign to films from other countries. One thing you should know, however, is that defining the type of film it is isn't really easy. Much of it is a comedy, but it also has many poignant moments (keep the Kleenex nearby), some existential moments where they explore the meaning of life and work and it's also a tender film about friendship. And, as my daughter pointed out when she saw the film, she loved that the men in the movie are not afraid to cry--something you rarely see in western films.As for the plot, it's very long and involved and I could recount what occurs. But I don't want to spoil a single wonderful moment, so my advice is just sit back and watch--and if you give it a chance, I can almost guarantee you'll have a great time with this poignant and funny film. Wonderful and well worth your time--with a delightful script, wonderful characters and lots of moments that made me smile...and a few that brought me to tears. See this film.",0,0,1,0,0,0,"(despite not revolutionary overall, this movie may be deemed revolutionary to vision of Western audiences according to the author)",,,,,,,
5,A Beautiful Mind," Powerful, quiet, effortless Crowe
",9,"A Beautiful Mind
Director Ron Howard has experience in playing with his audience's heartstrings. Remember in Apollo 13, when the fate of the astronauts was uncertain? (Ok, so if you remember your recent history, you knew.... but still!) Or remember in Parenthood, when Steve Martin's kid was about to make the crucial catch? Ol Opie can still pluck those strings with the best of them. (And you know, he'll never stop being called Opie, even by those of us who never saw The Andy Griffith Show during its initial run.) And plucking heartstrings is not a bad thing at all, not when you can do it in such a sincere, noncloying way as the masterful Beautiful Mind presents to its viewers.John Nash is a mathematics prodigy who has a decided knack at solving previously unsolvable problems. He's socially dysfunctional, rarely looking anyone in the eye, but pours all of his energy - and soul - into producing one original idea, an idea that will distinguish him from all of the other mathemathical minds at Princeton University.But John, like most who have had movies made about them, had his ups and downs. He meets and falls for a beautiful student of his named Alicia (Jennifer Connelly), and they produce a baby. But John also suffers from tremendous delusions and is diagnosed with a form of schizophrenia. Schizophrenia's a tough disease, folks - it's still not fully understood, and Nash was diagnosed with it in the middle of last century. He spends time in a sanitarium, as doctors struggle to find a cure.Russell Crowe is absolutely powerful as the confused and confusing Nash. Although the marquee says ""Russell Crowe"", you'll immediately forget this is the hunky guy from Gladiator. I mean after all, he's playing some nerdy scientist dude! But Crowe completely disappears in the role, and he's unforgettable. Actors kill for roles like this one, because it gives them a chance to show off their acting chops. For many actors, this is the kiss of death, because then they're exposed as poor thespians. But not for Crowe; if anything, this proves once and for all that he's a grand master of acting. I realize that sounds like overkill for him, but I think that when actors are labeled as a ""hunk"" - their skills as actors aren't seen as very substantial. Hey, looking darn good worked against Tom Selleck, and to a degree it has worked against Crowe as well.And he ages well, too. The movie takes place over a fairly extended period of time, ending with Nash's acceptance of the Nobel Prize in 1994. The makeup on Nash is neither garish nor schmaltzy; he looks completely genuine. And that's the essence of Crowe's performance. It's sincere, never trying to win over the audience with a sly wink here or a toss of the hair there. Crowe shows remarkable poise, elegance, and is utterly astounding in the role.His supporting cast is more than able. Jennifer Connelly is better than I thought she would be; in most roles, she's the eye candy. But this role had meat to it, and she held her own. It wasn't an easy role to play, and she pulled it off. And her scenes with Crowe do have that movie magic that each of us looks for when we go to movies, that one moment, that compatible chemistry that leaves audiences mesmerized.And yes, this does have some very, very touching moments. The final scene, while predictable (even if you don't know the outcome in real life), will bring more than one tear to the eye. Yes, I'll admit it, it got me right here. But it's okay; I did that old 'guy-crying-in-movie-theater' trick. If you feel the brime falling from the lid, you make a motion toward your cheek and then you scratch vigorously; people might think you have a skin infection and move away slowly, but at least they won't think you're a girly man.At any rate, it's certainly one of the best movies of the year. Everything's in place: the direction, the photography, and especially the acting.",,,,,,,,,,,,,,
6,A Clockwork Orange," One of those films you have to watch multiple times
",10,"It's hard to judge a film such as this. Its cold and hard, yet can be exhilarating and sarcastic. It can be average, yet it can be visionary. Exploitive? Satirical? Too many questions to consider when one watches this film.Even after 34 years, this film still speaks volumes about our current culture, which many ideals are ringing true today. The younger generations are out of control due to lack of parental control, junk culture is becoming commonplace, violence is desensitizing the masses, and we all seem to be enjoying the ride on the way down. It's very difficult to find movies which can make such startling commentary, yet hold on to such accusations for an extended period of time. Nowadays, films are focused-grouped to death, conformity is more powerful than artistry, and money is far more important than quality. Kubrick took a huge leap with this film, challenging society to take a hard look at itself. Unfortunately, society wasn't ready for this film, which is why it is revered now more than ever.",,,,,,,,,,,,,,
7,A Separation," Mankind Is Flawed
",10,"In Tehran, the teacher Simin (Leila Hatami) has requested the divorce from her husband, the bank clerk Nader (Peyman Moadi). Simin wishes to live abroad to give a better life to her eleven year-old daughter Termeh (Sarina Farhadi) and Nader, who is a family man but very arrogant, wants to stay to take care of his father (Ali-Asghar Shahbazi) that has Alzheimer. Simin moves to the house of her mother and Nader hires the religious Razieh (Sareh Bayat) to take care of his father while he is working. Razieh is pregnant but she does not tell her husband Hodjat (Shahab Hosseini), who owes a large amount to the creditors, that she is working. When she arrives with her daughter Somayeh (Kimia Hosseini)at Nader's house, she distracts and Nader's father goes to the street and she goes and gets him back home. On the next day, when Nader arrives home with Termeh, they find Nader's father tied up to his bed and Razieh and Somayeh are not at home. When they arrive at home, Nader accuses Razieh of theft and expels her. Razieh feels offended and argues with him, and Nader pushes her out at the front door. Razieh falls and has an abortion. She goes to the court with her husband and the witnesses are summoned to testify. ""Jodaeiye Nader az Simin"" or the separation of Nader and Simin, is among the best Iranian films I have seen and is a fantastic drama that shows how flawed mankind is, no matter in Iran, Brazil, Europe or wherever. Despite the different values of the Iranian society comparing with the Westerns ones, all the characters are flawed; therefore, the plot is realistic. Nader is a family man that loves his father and his daughter, but commits perjury, is stubborn and arrogant and asks his acquaintances to lie. Simin uses the secret that Razieh had told her to take advantage. Termeh lies to save her father from justice. Razieh is religious and worried with Allah and sins, but she was capable to lie fearing the reaction of her husband. Hodjat is a rude and impulsive man that is violent. The direction is perfect and the acting is top-notch. The story is engaging and believable and differences of cultures between Iran and Brazil are intriguing. I really recommend this film for any cinema lover or people interested in learning a little about the Iranian culture. My vote is ten.Title (Brazil): ""A Separação"" (""The Separation"")",,,,,,,,,,,,,,
8,Aladdin," I'd put it in with the Disney classics
",10,"Aladdin is such an awesome move that still gets me excited to this day, I remember when I was 7 and I saw this in the theater and I just had so much fun. I am such a dork, I still love a lot of the Disney movies that I loved as a kid, but I think the reason that I love Aladdin so much is because this is one of the last Disney movies that was hand drawn animation, the reason I love hand drawn animation is because it feels more personal and that the crew put their heart and soul into it, you can tell by watching it. They got a great cast of voice actors including Scott Weinger from Full House and the always entertaining and hilarious Robin Williams. Robin was just a perfect choice for Genie, he brought a lot of energy to the movie and makes the genie a great character. Who knew that a kid's version of the Arabian Nights tale could be so great? This is a great Disney movie that I guarantee you're going to love.On a dark night, when Jafar attempts to access the Cave of Wonders, a magical cave which holds treasures beyond the wildest belief, above all is a magical oil lamp containing a genie is hidden. He and his talking parrot, Iago, learn that the only one who can enter the Cave of Wonders is the metaphorical ""Diamond in the Rough"". Meanwhile, in the palace of Agrabah, Jasmine, the beautiful teenage daughter of the Sultan, must be married before her upcoming birthday, but she rejects every prince she meets, as she wants to be married for true love and not merely for wealth. Later, Jasmine, frustrated with having her life lived for her climbs over the palace walls, and sees the marketplace for the first time, where she meets the street urchin Aladdin and his monkey, Abu, and the two young people are seen to be falling for each other. Jafar uses a machine to see that the ""diamond in the rough"" is Aladdin. Jafar sends a group of guards to capture Aladdin while Jasmine is still with him. Jasmine tells Jafar to release him, but Jafar lies and tells her he is already dead. Jafar, disguised as an elderly man, releases Aladdin from prison and leads him to the Cave of Wonders. They are told by the tiger-shaped head of the cave to touch nothing but the lamp. Aladdin enters the cave and encounters a magic carpet before finding the lamp. Abu tries to steal a ruby and causes the cave to start collapsing, but the carpet helps them to the entrance. Jafar takes the lamp from them and tries to kill them but Abu takes the lamp back and bites his arm, causing him to knock Abu back into the cave just as it collapses. When Aladdin awakens, Abu gives him the lamp which he had snatched from Jafar. After rubbing it, a genie is unleashed, revealing that he will grant Aladdin three wishes. Aladdin dupes the genie into freeing them from the cave without using up a wish. While contemplating his wishes, Aladdin asks the genie to make him into a prince so he can marry Jasmine. Iago later steals the genie's lamp back and brings it to Jafar, who becomes the genie's new master and uses his first wish to become sultan. Jafar then wishes to become a powerful sorcerer, Jafar then keeps the Sultan, the Genie, and Jasmine as his slaves. Aladdin must figure a way to save all of them and make things right again.Aladdin is just a great movie that I promise you'll love, it has great characters, beautiful animation, and a terrific and catchy soundtrack that you'll be singing all day. This was one of the rare Disney movies that you pretty much loved ALL the characters, even Iago who is voiced by Gilbert Gottfried, the voice is a bit much but he is great as well. I personally love both the carpet and the genie. Who knew that a carpet could have so much personality? I absolutely adore the ""Friend Like Me"" scene, it was incredible to watch and had terrific animation! If for some odd reason you haven't somehow seen this movie, I highly recommend that you do, this will probably go down in your favorites as well.10/10",,,,,,,,,,,,,,
9,Aliens," A masterpiece - one of the best epic-action films of all time my personal favorite
",10,"Aliens (1986) is the best Epic Sci-Fi Classic Action Movie of all time and one of my personal favorite best action sci-fi flicks that I love to death. Just like I love The Terminator and T2, I love this movie to death. James Cameron's classic masterpiece. The now classic science fiction film was only the third feature directed by James Cameron (following Piranha Part Two, The Terminator). It is the sequel to the 1979 film Alien and Alien is a masterpiece I love that film, but I love this movie more sorry this is my personal opinion this is my movie. I am not saying it is better than the original movie but it is right up there with Alien a real classic.  Ellen Ripley (Sigourney Weaver), the sole survivor from the original ""Alien"", returns to Earth after drifting trough space in hyper sleep for 57 years. Although her story about the Alien encounter is met with skepticism, she agrees to accompany a team of high-tech marines back to LV-426 and this time it's war! It has great cast I love the marines fighting aliens in this movie. The movie stars: Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser, Lance Henriksen, Bill Paxton, William Hope, Jenette Goldstein, Al Matthews, Mark Rolston , Ricco Ross, Colette Hiller, Daniel Kash ,Cynthia Dale Scott and Tip Tipping and they are all believable enough.I love the characters beside Ellen Ripley, Newt, Corporal Hicks, Bishop, Private Hudson, Private Vasquez, Sergeant Apone, Private Drake, Private Frost, Corporal Ferro, Private Spunkmeyer, Corporal Dietrich, Private Crowe I love those platoon of US Colonial Marines I know I haven't mentioned Burke because he was the bad guy and I don't like him. But most of the characters in this movie I love.  I know it is a sci-fi action film but it also does a have a horror mixed together people just don't see that. There's plenty of horror in it. The nightmare sequence in the beginning, the creepy atmosphere of the LV-426 colony, and the heart pounding face hugger on the loose scene in the medical bay. You see mother of those aliens who cocooned all the humans and killed them you see Ripley finding the nest and fight the Alien queen on the end. Ripley faces her fear and gets over her PTSD by going in by herself to rescue the Girl/Fight the Aliens/and Destroy the Entire Nest...Battles One on One with an Alien Queen and Whips its' Ass...and, by the end, now both her and Newt can dream without the worry of any more Nightmares (which plagued Ripley at the beginning of the film).This is the finest action movie of all time. And, yet, believe it or not, it's not the action in the film itself that makes this be the case. This is especially odd in a movie with a $100 million budget (in 1986!), with multiple huge explosions, with thousands of bullets fired, and scores from James Horner of stuntmen used.10/10 I have the Blu-ray disc which it also have a special edition version on it I used to had this film on DVD but I throw it away because I bought the Blu-ray which I am very happy about it. I love this film to death it is my personal favorite sci-fi action film even Lance Henriksen from Hard Target and The Terminator is in here and he is the good guy.",,,,,,,,,,,,,,
